datetime,humidity,pm1,pm10,pm25,pressure,temperature,source,temperature_meteo,humidity_meteo,windspeed_meteo
2025-07-01 00:00:00,77.18,3.62,7.71,5.13,1019.64,15.02,airly,18.5,50,9.4
2025-07-01 01:00:00,78.45,2.51,5.4,3.59,1020.05,14.65,airly,17.9,51,8.6
2025-07-01 02:00:00,78.9,1.69,3.69,2.46,1020.41,14.35,airly,17.1,54,11.9
2025-07-01 03:00:00,77.93,1.0,2.36,1.53,1020.55,14.05,airly,16.3,58,9.4
2025-07-01 04:00:00,74.23,0.54,1.5,0.93,1020.57,14.24,airly,16.0,57,9.7
2025-07-01 05:00:00,67.81,0.41,1.23,0.76,1020.65,15.64,airly,15.1,54,8.6
2025-07-01 06:00:00,61.5,0.61,1.91,1.18,1020.59,17.11,airly,15.1,53,6.5
2025-07-01 07:00:00,55.72,0.4,1.33,0.79,1020.59,18.92,airly,16.1,49,8.3
2025-07-01 08:00:00,50.26,0.22,0.78,0.49,1020.47,20.87,airly,17.4,45,6.1
2025-07-01 09:00:00,46.39,0.38,1.33,0.8,1020.34,22.09,airly,18.7,40,4.3
2025-07-01 10:00:00,42.88,0.69,2.03,1.29,1020.05,22.88,airly,20.1,36,4.0
2025-07-01 11:00:00,40.39,0.09,0.43,0.23,1019.66,23.05,airly,21.6,32,4.0
2025-07-01 12:00:00,38.43,0.22,0.76,0.46,1019.29,23.56,airly,23.2,27,4.3
2025-07-01 13:00:00,37.21,0.08,0.51,0.27,1019.02,23.89,airly,24.4,25,4.7
2025-07-01 14:00:00,36.51,0.23,0.85,0.5,1018.79,24.27,airly,25.5,24,4.0
