time,temperature_2m,relative_humidity_2m,windspeed_10m
2025-07-01T00:00,18.5,50,9.4
2025-07-01T01:00,17.9,51,8.6
2025-07-01T02:00,17.1,54,11.9
2025-07-01T03:00,16.3,58,9.4
2025-07-01T04:00,16.0,57,9.7
2025-07-01T05:00,15.1,54,8.6
2025-07-01T06:00,15.1,53,6.5
2025-07-01T07:00,16.1,49,8.3
2025-07-01T08:00,17.4,45,6.1
2025-07-01T09:00,18.7,40,4.3
2025-07-01T10:00,20.1,36,4.0
2025-07-01T11:00,21.6,32,4.0
2025-07-01T12:00,23.2,27,4.3
2025-07-01T13:00,24.4,25,4.7
2025-07-01T14:00,25.5,24,4.0
2025-07-01T15:00,26.7,22,4.0
2025-07-01T16:00,27.1,22,7.2
2025-07-01T17:00,27.1,24,6.5
2025-07-01T18:00,26.9,25,9.0
2025-07-01T19:00,26.2,28,9.4
2025-07-01T20:00,25.5,31,8.3
2025-07-01T21:00,24.1,36,7.6
2025-07-01T22:00,23.0,37,6.1
2025-07-01T23:00,21.8,42,6.1
2025-07-02T00:00,20.8,45,6.8
2025-07-02T01:00,20.3,47,7.2
2025-07-02T02:00,19.6,49,1.4
2025-07-02T03:00,18.9,51,1.8
2025-07-02T04:00,17.7,54,4.3
2025-07-02T05:00,17.0,57,3.6
2025-07-02T06:00,18.1,55,1.4
2025-07-02T07:00,20.4,45,2.9
2025-07-02T08:00,22.5,38,3.6
2025-07-02T09:00,24.3,35,4.3
2025-07-02T10:00,26.0,32,4.7
2025-07-02T11:00,27.4,30,6.1
2025-07-02T12:00,28.6,28,8.6
2025-07-02T13:00,29.6,27,7.9
2025-07-02T14:00,30.4,26,7.2
2025-07-02T15:00,30.9,26,6.8
2025-07-02T16:00,31.3,26,6.1
2025-07-02T17:00,31.4,26,5.4
2025-07-02T18:00,31.1,27,8.3
2025-07-02T19:00,30.1,30,9.4
2025-07-02T20:00,28.7,38,11.2
2025-07-02T21:00,27.4,42,10.8
2025-07-02T22:00,26.1,50,10.4
2025-07-02T23:00,24.9,53,9.7
