Data*Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3])
2023-06-01 01:00 ,
2023-06-01 02:00 ,
2023-06-01 03:00 ,
2023-06-01 04:00 ,
2023-06-01 05:00 ,
2023-06-01 06:00 ,
2023-06-01 07:00 ,
2023-06-01 08:00 ,
2023-06-01 09:00 ,
2023-06-01 10:00 ,
2023-06-01 11:00 ,
2023-06-01 12:00 ,
2023-06-01 13:00 ,
2023-06-01 14:00 ,
2023-06-01 15:00 ,
2023-06-01 16:00 ,
2023-06-01 17:00 ,
2023-06-01 18:00 ,
2023-06-01 19:00 ,
2023-06-01 20:00 ,
2023-06-01 21:00 ,
2023-06-01 22:00 ,
2023-06-01 23:00 ,
2023-06-02 00:00 ,
2023-06-02 01:00 ,
2023-06-02 02:00 ,
2023-06-02 03:00 ,
2023-06-02 04:00 ,
2023-06-02 05:00 ,
2023-06-02 06:00 ,
2023-06-02 07:00 ,
2023-06-02 08:00 ,
2023-06-02 09:00 ,
2023-06-02 10:00 ,
2023-06-02 11:00 ,
2023-06-02 12:00 ,
2023-06-02 13:00 ,
2023-06-02 14:00 ,
2023-06-02 15:00 ,
2023-06-02 16:00 ,
2023-06-02 17:00 ,
2023-06-02 18:00 ,
2023-06-02 19:00 ,
2023-06-02 20:00 ,
2023-06-02 21:00,23.89,
2023-06-02 22:00,25.65,
2023-06-02 23:00,23.60,
2023-06-03 00:00,27.70,
2023-06-03 01:00,32.64,
2023-06-03 02:00,31.66,
2023-06-03 03:00,36.13,
2023-06-03 04:00,35.20,
2023-06-03 05:00,43.57,
2023-06-03 06:00,44.11,
2023-06-03 07:00,51.77,
2023-06-03 08:00,36.10,
2023-06-03 09:00,30.91,
2023-06-03 10:00,25.42,
2023-06-03 11:00,21.63,
2023-06-03 12:00,20.13,
2023-06-03 13:00,18.39,
2023-06-03 14:00,16.58,
2023-06-03 15:00,16.28,
2023-06-03 16:00,15.40,
2023-06-03 17:00,16.35,
2023-06-03 18:00,18.15,
2023-06-03 19:00,18.80,
2023-06-03 20:00,21.55,
2023-06-03 21:00,25.97,
2023-06-03 22:00,25.81,
2023-06-03 23:00,42.35,
2023-06-04 00:00,32.32,
2023-06-04 01:00,32.78,
2023-06-04 02:00,25.74,
2023-06-04 03:00,23.32,
2023-06-04 04:00,33.86,
2023-06-04 05:00,34.95,
2023-06-04 06:00,31.76,
2023-06-04 07:00,38.49,
2023-06-04 08:00,34.66,
2023-06-04 09:00,27.10,
2023-06-04 10:00,30.37,
2023-06-04 11:00,20.83,
2023-06-04 12:00,17.87,
2023-06-04 13:00,18.14,
2023-06-04 14:00,17.33,
2023-06-04 15:00,16.97,
2023-06-04 16:00,16.81,
2023-06-04 17:00,17.66,
2023-06-04 18:00,18.91,
2023-06-04 19:00,18.78,
2023-06-04 20:00,20.03,
2023-06-04 21:00,24.80,
2023-06-04 22:00,26.57,
2023-06-04 23:00,28.01,
2023-06-05 00:00,23.40,
2023-06-05 01:00,23.70,
2023-06-05 02:00,23.48,
2023-06-05 03:00,23.63,
2023-06-05 04:00,24.28,
2023-06-05 05:00,26.94,
2023-06-05 06:00,36.77,
2023-06-05 07:00,32.78,
2023-06-05 08:00,36.25,
2023-06-05 09:00,25.90,
2023-06-05 10:00,27.09,
2023-06-05 11:00,23.40,
2023-06-05 12:00,24.96,
2023-06-05 13:00,25.52,
2023-06-05 14:00,25.73,
2023-06-05 15:00,25.16,
2023-06-05 16:00,24.54,
2023-06-05 17:00,23.43,
2023-06-05 18:00,23.18,
2023-06-05 19:00,22.87,
